,SearchNames,Author,NoPapers
204,AU=ORNEK AHMET,ORNEK AHMET,16
205,AU=OZ AHMET,OZ AHMET,37
206,AU=OZ AHMET,OZ AHMET,37
207,AU=OZCAN AHMET,OZCAN AHMET,27
208,AU=AKTAN AHMET,AKTAN AHMET,4
209,AU=OZER AHMET,OZER AHMET,74
210,AU=OGRETEN AHMET,OGRETEN AHMET,0
211,AU=DUNDAR AHMET,DUNDAR AHMET,0
212,AU=ISLEYEN AHMET,ISLEYEN AHMET,27
213,AU=SAHBAZ AHMET,SAHBAZ AHMET,29
214,AU=SAHIN AHMET,SAHIN AHMET,214
215,AU=SAHIN AHMET,SAHIN AHMET,214
216,AU=KABLAMACI AHSEN,KABLAMACI AHSEN,0
217,AU=KAHVECI AJDA,KAHVECI AJDA,7
218,AU=KARAKUS AKAN,KARAKUS AKAN,6
219,AU=ALSARAN AKGUN,ALSARAN AKGUN,9
220,AU=AYDOGAN AKIN,AYDOGAN AKIN,19
221,AU=ATAGUN AKIN,ATAGUN AKIN,15
222,AU=PALA AKIN,PALA AKIN,12
223,AU=CELIK AKIN,CELIK AKIN,0
224,AU=ONDER AKIN,ONDER AKIN,37
225,AU=ACAY AKIF,ACAY AKIF,14
226,AU=ARSLAN AKIF,ARSLAN AKIF,45
227,AU=KARATEPE AKIF,KARATEPE AKIF,1
228,AU=KOC AKIF,KOC AKIF,13
229,AU=KUTLU AKIF,KUTLU AKIF,8
230,AU=RENCBER AKIF,RENCBER AKIF,0
231,AU=SIRIKCI AKIF,SIRIKCI AKIF,17
232,AU=AKTAS ALAATTIN,AKTAS ALAATTIN,23
233,AU=DIKMEN ALAATTIN,DIKMEN ALAATTIN,0
234,AU=KAYA ALAATTIN,KAYA ALAATTIN,27
235,AU=ERTEKIN ALAATTIN,ERTEKIN ALAATTIN,4
236,AU=ILGEN ALDULKADIR,ILGEN ALDULKADIR,0
237,AU=BAYRAKTAR ALEMDAR,BAYRAKTAR ALEMDAR,122
238,AU=KOYUTURK ALP,KOYUTURK ALP,15
239,AU=BIRDANE ALPARSLAN,BIRDANE ALPARSLAN,36
240,AU=SAHIN ALPARSLAN,SAHIN ALPARSLAN,86
241,AU=GORMUS ALPARSLAN,GORMUS ALPARSLAN,1
