,SearchNames,Author,NoPapers
957,AU=SAHIN EYLEM,SAHIN EYLEM,1
958,AU=CIG EYLEM,CIG EYLEM,1
959,AU=COSKUN EYYUP,COSKUN EYYUP,7
960,AU=AYYILDIZ EYUP,AYYILDIZ EYUP,0
961,AU=BUYUKKAYA EYUP,BUYUKKAYA EYUP,34
962,AU=KOC EYUP,KOC EYUP,21
963,AU=YURT EYUP,YURT EYUP,10
964,AU=ZENGIN EYUP,ZENGIN EYUP,8
965,AU=CETIN EYUP,CETIN EYUP,5
966,AU=CEVHER EZGI,CEVHER EZGI,1
967,AU=ARSLAN FAHRETTIN,ARSLAN FAHRETTIN,6
968,AU=TALAY FAHRETTIN,TALAY FAHRETTIN,25
969,AU=GUNES FAHRI,GUNES FAHRI,32
970,AU=BESIR FAHRI,BESIR FAHRI,31
971,AU=TERCAN FAHRI,TERCAN FAHRI,25
972,AU=OZ FAHRI,OZ FAHRI,1
973,AU=BASCIFTCI FARUK,BASCIFTCI FARUK,28
974,AU=BAGIRCI FARUK,BAGIRCI FARUK,0
975,AU=DEMIR FARUK,DEMIR FARUK,21
976,AU=GEYIK FARUK,GEYIK FARUK,9
977,AU=TUNCER FARUK,TUNCER FARUK,1
978,AU=YILMAZ FARUK,YILMAZ FARUK,61
979,AU=YILMAZ FARUK,YILMAZ FARUK,61
980,AU=CAVDAR FARUK,CAVDAR FARUK,9
981,AU=OZ FARUK,OZ FARUK,0
982,AU=OZTURK FARUK,OZTURK FARUK,61
983,AU=UCAR FARUK,UCAR FARUK,33
984,AU=BOYACI FATIMA,BOYACI FATIMA,16
985,AU=BAYRAKTAR FATMA,BAYRAKTAR FATMA,4
986,AU=BOZKURT FATMA,BOZKURT FATMA,30
987,AU=CEBE FATMA,CEBE FATMA,9
988,AU=DEMIREL FATMA,DEMIREL FATMA,72
989,AU=KILICER FATMA,KILICER FATMA,0
990,AU=ERDEM FATMA,ERDEM FATMA,36
991,AU=GUNDOGDU FATMA,GUNDOGDU FATMA,8
992,AU=NIYAZIOGLU FATMA,NIYAZIOGLU FATMA,0
993,AU=TURKMENOGLU FATMA,TURKMENOGLU FATMA,5
994,AU=TURALIOGLU FATMA,TURALIOGLU FATMA,2
995,AU=FIDAN FATMA,FIDAN FATMA,34
996,AU=AKCAY FATIH,AKCAY FATIH,55
997,AU=ALTUNKAS FATIH,ALTUNKAS FATIH,32
998,AU=ANDIRAN FATIH,ANDIRAN FATIH,10
999,AU=AY FATIH,AY FATIH,0
1000,AU=AYDOGAN FATIH,AYDOGAN FATIH,85
1001,AU=BAYANSAL FATIH,BAYANSAL FATIH,7
1002,AU=BAYRAM FATIH,BAYRAM FATIH,10
1003,AU=BOLAT FATIH,BOLAT FATIH,22
1004,AU=CAN FATIH,CAN FATIH,5
1005,AU=DEMIRCI FATIH,DEMIRCI FATIH,91
1006,AU=DEMIRCIOGLU FATIH,DEMIRCIOGLU FATIH,37
1007,AU=EKICI FATIH,EKICI FATIH,17
1008,AU=ERBAY FATIH,ERBAY FATIH,1
1009,AU=ERMIS FATIH,ERMIS FATIH,38
1010,AU=FIRINCI FATIH,FIRINCI FATIH,28
1011,AU=GURSUL FATIH,GURSUL FATIH,2
1012,AU=HATTATOGLU FATIH,HATTATOGLU FATIH,3
1013,AU=KANTARCI FATIH,KANTARCI FATIH,81
1014,AU=KARAKAS FATIH,KARAKAS FATIH,7
1015,AU=KARAOSMANOGLU FATIH,KARAOSMANOGLU FATIH,0
1016,AU=KAYA FATIH,KAYA FATIH,27
1017,AU=KAYHAN FATIH,KAYHAN FATIH,30
1018,AU=KIRAC FATIH,KIRAC FATIH,0
1019,AU=KOC FATIH,KOC FATIH,87
1020,AU=KOCTURK FATIH,KOCTURK FATIH,1
1021,AU=KURNAZ FATIH,KURNAZ FATIH,28
1022,AU=BINNETOGLU FATIH,BINNETOGLU FATIH,21
1023,AU=ADIBELLI FATIH,ADIBELLI FATIH,10
1024,AU=TURKCU FATIH,TURKCU FATIH,69
1025,AU=TURKER FATIH,TURKER FATIH,3
1026,AU=MUTLU FATIH,MUTLU FATIH,73
1027,AU=DURAN FATIH,DURAN FATIH,0
1028,AU=SEFIL FATIH,SEFIL FATIH,28
1029,AU=SIVRIKAYA FATIH,SIVRIKAYA FATIH,25
1030,AU=TEMIZTURK FATIH,TEMIZTURK FATIH,4
1031,AU=TUFAN FATIH,TUFAN FATIH,83
1032,AU=YAR FATIH,YAR FATIH,0
1033,AU=YAGMUR FATIH,YAGMUR FATIH,14
1034,AU=YILDIRIM FATIH,YILDIRIM FATIH,9
1035,AU=YILDIZ FATIH,YILDIZ FATIH,65
1036,AU=YUKSEL FATIH,YUKSEL FATIH,17
1037,AU=CELEBIOGLU FATIH,CELEBIOGLU FATIH,3
1038,AU=CELENK FATIH,CELENK FATIH,33
1039,AU=CELIK FATIH,CELIK FATIH,54
1040,AU=CELIK FATIH,CELIK FATIH,54
1041,AU=CERMIK FATIH,CERMIK FATIH,0
1042,AU=COSKUN FATIH,COSKUN FATIH,9
1043,AU=COMEZ FATIH,COMEZ FATIH,0
1044,AU=OZAN FATIH,OZAN FATIH,17
1045,AU=OZBAY FATIH,OZBAY FATIH,15
1046,AU=OZTURK FATIH,OZTURK FATIH,7
1047,AU=OCAL FATIH,OCAL FATIH,9
1048,AU=OGRETMEN FATIH,OGRETMEN FATIH,21
1049,AU=ILKAYA FATIH,ILKAYA FATIH,23
1050,AU=IMAT FATIH,IMAT FATIH,1
1051,AU=SAHPAZ FATIH,SAHPAZ FATIH,7
1052,AU=SENOL FAZIL,SENOL FAZIL,0
1053,AU=OMUR FAIK,OMUR FAIK,0
1054,AU=AKIN FEHMI,AKIN FEHMI,0
1055,AU=AKCABAY FEHMIYE,AKCABAY FEHMIYE,0
1056,AU=ARMUTCU FERAH,ARMUTCU FERAH,43
1057,AU=YAMAN FERDA,YAMAN FERDA,6
1058,AU=BULBUL FERDI,BULBUL FERDI,0
1059,AU=GOKSEL FERDI,GOKSEL FERDI,22
1060,AU=KARABUGA FERHAN,KARABUGA FERHAN,0
1061,AU=YAMAN FERHAN,YAMAN FERHAN,22
1062,AU=ASLAN FERHAT,ASLAN FERHAT,23
1063,AU=OZGEN FERHAT,OZGEN FERHAT,0
1064,AU=BOZKUS FERHAT,BOZKUS FERHAT,13
1065,AU=BULBUL FERHAT,BULBUL FERHAT,13
1066,AU=CELEP FERHAT,CELEP FERHAT,53
1067,AU=DIKBIYIK FERHAT,DIKBIYIK FERHAT,29
1068,AU=ENSAR FERHAT,ENSAR FERHAT,0
1069,AU=GOKMEN FERHAT,GOKMEN FERHAT,42
1070,AU=TASKIN FERHAT,TASKIN FERHAT,11
1071,AU=OZMAN FERHAT,OZMAN FERHAT,0
1072,AU=TANIK FERIDE,TANIK FERIDE,9
1073,AU=BULBUL FERIDUN,BULBUL FERIDUN,40
1074,AU=FICICI FERIT,FICICI FERIT,18
1075,AU=SONMEZ FERIT,SONMEZ FERIT,6
1076,AU=KARABIBER FETHULLAH,KARABIBER FETHULLAH,21
1077,AU=KENAR FETHULLAH,KENAR FETHULLAH,11
1078,AU=TULUBAS FETI,TULUBAS FETI,26
1079,AU=SARITAS FEVZI,SARITAS FEVZI,1
1080,AU=YILDIZ FEYYAZ,YILDIZ FEYYAZ,0
1081,AU=ONDER FEYYAZ,ONDER FEYYAZ,3
1082,AU=EKSI FEYZETTIN,EKSI FEYZETTIN,0
1083,AU=UYGUR FIRAT,UYGUR FIRAT,18
1084,AU=MENGELOGLU FIRAT,MENGELOGLU FIRAT,12
1085,AU=CELIK FIRAT,CELIK FIRAT,0
1086,AU=AHMETOGLU FUAT,AHMETOGLU FUAT,13
1087,AU=BOYACIOGLU FUAT,BOYACIOGLU FUAT,2
1088,AU=KARAKAYA FUAT,KARAKAYA FUAT,8
1089,AU=LEBE FUAT,LEBE FUAT,3
1090,AU=OZDINC FUAT,OZDINC FUAT,0
1091,AU=ATACAN FULYA,ATACAN FULYA,1
1092,AU=KENTLI FULYA,KENTLI FULYA,6
1093,AU=DOGRUEL FULYA,DOGRUEL FULYA,2
1094,AU=CATIR FULYA,CATIR FULYA,0
1095,AU=OZDEMIR FUNDA,OZDEMIR FUNDA,27
1096,AU=BIRDAL FURKAN,BIRDAL FURKAN,0
1097,AU=DINCER FURKAN,DINCER FURKAN,58
1098,AU=AYDOGAN FUSUN,AYDOGAN FUSUN,10
1099,AU=SAHIN FIGEN,SAHIN FIGEN,64
1100,AU=KOCYIGIT FIGEN,KOCYIGIT FIGEN,19
1101,AU=SELIMOGLU FIGEN,SELIMOGLU FIGEN,0
1102,AU=TASER FIGEN,TASER FIGEN,12
1103,AU=ELMA FIKRET,ELMA FIKRET,0
1104,AU=KOCABAS FIKRET,KOCABAS FIKRET,12
1105,AU=KUYUCU FIKRET,KUYUCU FIKRET,1
1106,AU=MAZI FIKRET,MAZI FIKRET,0
1107,AU=UYAR FIKRET,UYAR FIKRET,9
1108,AU=DEMIR FIKRI,DEMIR FIKRI,28
1109,AU=CEVIK FILIZ,CEVIK FILIZ,2
1110,AU=OZDEMIR FILIZ,OZDEMIR FILIZ,52
1111,AU=OZDEMIROGLU FILIZ,OZDEMIROGLU FILIZ,10
1112,AU=OZKAN FILIZ,OZKAN FILIZ,16
1113,AU=IYIDIL FILIZ,IYIDIL FILIZ,0
1114,AU=CETIN FIRDEVS,CETIN FIRDEVS,0
1115,AU=SONMEZGOZ FITNET,SONMEZGOZ FITNET,10
1116,AU=OTURANC GALIP,OTURANC GALIP,8
1117,AU=CAG GALIP,CAG GALIP,0
1118,AU=YUCEL GERCEK,YUCEL GERCEK,0
1119,AU=OZKUK GOKAN,OZKUK GOKAN,0
1120,AU=ALPAK GOKAY,ALPAK GOKAY,33
1121,AU=ERBAG GOKHAN,ERBAG GOKHAN,22
1122,AU=KARS GOKHAN,KARS GOKHAN,11
1123,AU=KUTLAR GOKHAN,KUTLAR GOKHAN,8
1124,AU=SERIN GOKHAN,SERIN GOKHAN,1
1125,AU=DEMIR GOKHAN,DEMIR GOKHAN,71
1126,AU=OZDAMAR GOKHAN,OZDAMAR GOKHAN,0
1127,AU=BILGILI GOKMEN,BILGILI GOKMEN,7
1128,AU=AKPINAR GOKSAN,AKPINAR GOKSAN,3
1129,AU=ERDEN GONUL,ERDEN GONUL,46
1130,AU=SARI GOZDE,SARI GOZDE,11
1131,AU=DEMIR GOZDE,DEMIR GOZDE,0
1132,AU=SEN GUL,SEN GUL,2
1133,AU=PINAR GUL,PINAR GUL,23
1134,AU=OZPINAR GUL,OZPINAR GUL,9
1135,AU=BULUT GULAY,BULUT GULAY,64
1136,AU=YUCEKAYA GULAY,YUCEKAYA GULAY,0
1137,AU=OZKECECI GULAY,OZKECECI GULAY,22
1138,AU=CILGI GULBANU,CILGI GULBANU,12
1139,AU=SARICI GULBEN,SARICI GULBEN,1
1140,AU=OZATAGAN GULDEM,OZATAGAN GULDEM,3
1141,AU=AKIN GULDEN,AKIN GULDEN,1
1142,AU=KOKEN GULEN,KOKEN GULEN,0
1143,AU=KAMAK GULEN,KAMAK GULEN,3
1144,AU=KOCA GULER,KOCA GULER,2
1145,AU=TOK GULER,TOK GULER,0
1146,AU=YAVUZ GULER,YAVUZ GULER,4
1147,AU=GULER GULNUR,GULER GULNUR,46
1148,AU=OZGUNER GULNUR,OZGUNER GULNUR,10
1149,AU=DOGAN GULNIHAL,DOGAN GULNIHAL,5
1150,AU=ADAKLI GULSEREN,ADAKLI GULSEREN,0
1151,AU=PAMUK GULSUM,PAMUK GULSUM,57
1152,AU=INCE GULSUM,INCE GULSUM,1
1153,AU=OZYALVACLI GULZADE,OZYALVACLI GULZADE,24
1154,AU=DOGANLI GULUMSER,DOGANLI GULUMSER,5
1155,AU=ASIK GULSAH,ASIK GULSAH,25
1156,AU=KAYIKCI GULSEN,KAYIKCI GULSEN,0
1157,AU=KURSUN GUNAL,KURSUN GUNAL,0
1158,AU=ASAN GUNES,ASAN GUNES,0
1159,AU=TURGUT GUNFER,TURGUT GUNFER,30
1160,AU=AY GUNGOR,AY GUNGOR,2
1161,AU=SOBACI GUNGOR,SOBACI GUNGOR,60
1162,AU=BAHADIR GURHAN,BAHADIR GURHAN,0
1163,AU=GUNDUZ GURHAN,GUNDUZ GURHAN,4
1164,AU=ACAR GURKAN,ACAR GURKAN,49
1165,AU=ALTAN GURKAN,ALTAN GURKAN,10
1166,AU=GAZIOGLU GURKAN,GAZIOGLU GURKAN,7
1167,AU=SAKAR GURKAN,SAKAR GURKAN,2
1168,AU=ACARTURK GURSEL,ACARTURK GURSEL,28
1169,AU=DUZENLI GURSEL,DUZENLI GURSEL,4
1170,AU=MERIC GURSOY,MERIC GURSOY,0
1171,AU=BAKIREZER GUVEN,BAKIREZER GUVEN,1
1172,AU=TEKBAS GUVEN,TEKBAS GUVEN,38
1173,AU=SEKER GUVEN,SEKER GUVEN,0
1174,AU=AYNALI GIRAY,AYNALI GIRAY,16
1175,AU=EMRE HABIB,EMRE HABIB,21
1176,AU=OZDEMIR HABIB,OZDEMIR HABIB,0
1177,AU=KALKAN HABIL,KALKAN HABIL,25
1178,AU=EROGLU HABIP,EROGLU HABIP,8
1179,AU=AYDOGMUS HACER,AYDOGMUS HACER,2
1180,AU=SEN HACER,SEN HACER,32
1181,AU=TASPINAR HACI,TASPINAR HACI,0
1182,AU=AKTAS HACI,AKTAS HACI,8
1183,AU=ATA HACI,ATA HACI,0
1184,AU=CETINKARA HACI,CETINKARA HACI,5
1185,AU=BAYKARA HACI,BAYKARA HACI,15
1186,AU=SOY HACI,SOY HACI,0
1187,AU=TOSUN HACI,TOSUN HACI,20
1188,AU=YILMAZ HACI,YILMAZ HACI,6
1189,AU=KAYMAZ HACI,KAYMAZ HACI,4
1190,AU=TASCI HACI,TASCI HACI,0
1191,AU=SAHIN HACI,SAHIN HACI,29
1192,AU=EMUL HACI,EMUL HACI,4
1193,AU=SAGDIK HACI,SAGDIK HACI,22
1194,AU=CAKMAK HACI,CAKMAK HACI,2
1195,AU=DEMIR HACI,DEMIR HACI,52
1196,AU=TURKMEN HAFIZE,TURKMEN HAFIZE,2
1197,AU=AKIN HAKAN,AKIN HAKAN,62
1198,AU=AKCAY HAKAN,AKCAY HAKAN,6
1199,AU=ALTINTAS HAKAN,ALTINTAS HAKAN,3
1200,AU=ALTUN HAKAN,ALTUN HAKAN,0
1201,AU=AYDOGAN HAKAN,AYDOGAN HAKAN,15
1202,AU=BAKAN HAKAN,BAKAN HAKAN,0
1203,AU=BAYIR HAKAN,BAYIR HAKAN,14
1204,AU=BASARAN HAKAN,BASARAN HAKAN,6
1205,AU=BOLAT HAKAN,BOLAT HAKAN,4
1206,AU=BOYACI HAKAN,BOYACI HAKAN,7
1207,AU=BUYUKHATIPOGLU HAKAN,BUYUKHATIPOGLU HAKAN,70
1208,AU=BUYUKOGLAN HAKAN,BUYUKOGLAN HAKAN,29
1209,AU=DEMIRBOGA HAKAN,DEMIRBOGA HAKAN,0
1210,AU=DEMIRTAS HAKAN,DEMIRTAS HAKAN,78
1211,AU=DEGIRMENCI HAKAN,DEGIRMENCI HAKAN,0
1212,AU=DOGAN HAKAN,DOGAN HAKAN,76
1213,AU=GENCHELLAC HAKAN,GENCHELLAC HAKAN,27
1214,AU=HEKIM HAKAN,HEKIM HAKAN,2
1215,AU=KAPTAN HAKAN,KAPTAN HAKAN,3
1216,AU=AKMAZ HAKAN,AKMAZ HAKAN,4
1217,AU=MERTCAN HAKAN,MERTCAN HAKAN,0
1218,AU=OFLAZ HAKAN,OFLAZ HAKAN,13
1219,AU=SARMAN HAKAN,SARMAN HAKAN,18
1220,AU=SEVINDIK HAKAN,SEVINDIK HAKAN,1
1221,AU=SOYUT HAKAN,SOYUT HAKAN,11
1222,AU=TANRIVERDI HAKAN,TANRIVERDI HAKAN,22
1223,AU=TURAN HAKAN,TURAN HAKAN,66
1224,AU=ULUCAN HAKAN,ULUCAN HAKAN,12
1225,AU=UZUN HAKAN,UZUN HAKAN,37
1226,AU=YAMAN HAKAN,YAMAN HAKAN,42
1227,AU=YAMAN HAKAN,YAMAN HAKAN,42
1228,AU=CALIS HAKAN,CALIS HAKAN,6
1229,AU=CATLIOGLU HAKAN,CATLIOGLU HAKAN,13
1230,AU=CETIN HAKAN,CETIN HAKAN,16
1231,AU=CETINEL HAKAN,CETINEL HAKAN,15
1232,AU=OZHAN HAKAN,OZHAN HAKAN,69
1233,AU=OZKOKELI HAKAN,OZKOKELI HAKAN,0
1234,AU=SARI HAKAN,SARI HAKAN,15
1235,AU=SAHIN HAKAN,SAHIN HAKAN,28
1236,AU=SANDIR HAKAN,SANDIR HAKAN,3
1237,AU=FINDIK HAKKI,FINDIK HAKKI,0
1238,AU=GOKBEL HAKKI,GOKBEL HAKKI,35
1239,AU=SARNEL HALDUN,SARNEL HALDUN,5
1240,AU=BORAZAN HALE,BORAZAN HALE,17
1241,AU=SAVAS HALUK,SAVAS HALUK,91
1242,AU=CEYLAN HALUK,CEYLAN HALUK,12
1243,AU=SOYLEMEZ HALUK,SOYLEMEZ HALUK,97
1244,AU=PEKTEZEL HALID,PEKTEZEL HALID,1
1245,AU=AKMAN HALIL,AKMAN HALIL,0
1246,AU=AYKUL HALIL,AYKUL HALIL,9
1247,AU=BEYDILLI HALIL,BEYDILLI HALIL,18
1248,AU=BILECEN HALIL,BILECEN HALIL,0
1249,AU=KUNT HALIL,KUNT HALIL,2
1250,AU=OZLER HALIL,OZLER HALIL,3
1251,AU=SEN HALIL,SEN HALIL,24
1252,AU=TOSUN HALIL,TOSUN HALIL,13
1253,AU=UCAL HALIL,UCAL HALIL,0
1254,AU=YILDIRIM HALIL,YILDIRIM HALIL,11
1255,AU=CALISKAN HALIL,CALISKAN HALIL,14
1256,AU=CETIN HALIL,CETIN HALIL,3
1257,AU=OZGUNER HALIL,OZGUNER HALIL,3
1258,AU=BAHAR HALIL,BAHAR HALIL,1
1259,AU=DEMIRCI HALIL,DEMIRCI HALIL,2
1260,AU=ESKIKURT HALIL,ESKIKURT HALIL,5
1261,AU=HALILOGLU HALIL,HALILOGLU HALIL,3
1262,AU=KILINC HALIL,KILINC HALIL,15
1263,AU=OKUTAN HALIL,OKUTAN HALIL,0
1264,AU=TANC HALIL,TANC HALIL,0
1265,AU=ONDER HALIL,ONDER HALIL,66
1266,AU=UNAL HALIL,UNAL HALIL,54
1267,AU=INAN HALIL,INAN HALIL,7
1268,AU=SAHAN HALIL,SAHAN HALIL,23
1269,AU=SAHMAN HALIL,SAHMAN HALIL,8
1270,AU=SIMSEK HALIL,SIMSEK HALIL,11
1271,AU=AKBULUT HALIM,AKBULUT HALIM,0
1272,AU=KORUCU HALIM,KORUCU HALIM,0
1273,AU=NALIN HALIME,NALIN HALIME,0
1274,AU=BORAN HALIS,BORAN HALIS,18
1275,AU=CANATAN HALIT,CANATAN HALIT,31
1276,AU=KARACA HALIT,KARACA HALIT,73
1277,AU=ZENGIN HALIT,ZENGIN HALIT,26
1278,AU=CICEK HALIT,CICEK HALIT,2
1279,AU=AKCAKOCA HAMDI,AKCAKOCA HAMDI,3
1280,AU=AYDIN HAMDI,AYDIN HAMDI,10
1281,AU=KAMCI HAMDI,KAMCI HAMDI,0
1282,AU=SOZEN HAMDI,SOZEN HAMDI,21
1283,AU=TUTKUN HAMDI,TUTKUN HAMDI,3
1284,AU=TOSUN HAMZA,TOSUN HAMZA,0
1285,AU=UZUM HAMZA,UZUM HAMZA,0
1286,AU=ACEMOGLU HAMIT,ACEMOGLU HAMIT,39
1287,AU=MERMERKAYA HAMIT,MERMERKAYA HAMIT,0
1288,AU=OKUR HAMIT,OKUR HAMIT,11
1289,AU=PALABIYIK HAMIT,PALABIYIK HAMIT,0
1290,AU=UNAL HAMIYET,UNAL HAMIYET,17
1291,AU=CIPIL HANDAN,CIPIL HANDAN,9
1292,AU=USTUNDAG HANDAN,USTUNDAG HANDAN,3
1293,AU=GURSES HANDE,GURSES HANDE,1
1294,AU=TOPAL HANIFE,TOPAL HANIFE,0
1295,AU=BINICI HANIFI,BINICI HANIFI,45
1296,AU=KURT HANIFI,KURT HANIFI,1
1297,AU=SARAC HANIFI,SARAC HANIFI,11
1298,AU=ANAY HARUN,ANAY HARUN,1
1299,AU=AYDOGAN HARUN,AYDOGAN HARUN,17
1300,AU=BAYRAKDAR HARUN,BAYRAKDAR HARUN,6
1301,AU=EVRENGUL HARUN,EVRENGUL HARUN,56
1302,AU=KAYA HARUN,KAYA HARUN,12
1303,AU=KUCUK HARUN,KUCUK HARUN,6
1304,AU=YAZAR HARUN,YAZAR HARUN,12
1305,AU=TOY HARUN,TOY HARUN,22
1306,AU=YENICERI HARUN,YENICERI HARUN,1
1307,AU=YILDIZ HARUN,YILDIZ HARUN,24
1308,AU=YILMAZ HARUN,YILMAZ HARUN,18
1309,AU=YUKSEL HARUN,YUKSEL HARUN,60
1310,AU=CIRALIK HARUN,CIRALIK HARUN,42
1311,AU=COBAN HARUN,COBAN HARUN,6
1312,AU=SIMSEK HARUN,SIMSEK HARUN,3
1313,AU=DELIGOZ HASALETTIN,DELIGOZ HASALETTIN,28
1314,AU=ABDIOGLU HASAN,ABDIOGLU HASAN,3
1315,AU=ACAR HASAN,ACAR HASAN,35
1316,AU=AKCA HASAN,AKCA HASAN,7
1317,AU=ALLI HASAN,ALLI HASAN,14
1318,AU=YUKSEKKAYA HASAN,YUKSEKKAYA HASAN,29
1319,AU=ATIK HASAN,ATIK HASAN,7
1320,AU=AYDIN HASAN,AYDIN HASAN,112
1321,AU=BABACAN HASAN,BABACAN HASAN,22
1322,AU=BAL HASAN,BAL HASAN,14
1323,AU=ERTAS HASAN,ERTAS HASAN,25
1324,AU=ULUSOY HASAN,ULUSOY HASAN,40
1325,AU=BAYRAKTAR HASAN,BAYRAKTAR HASAN,3
1326,AU=BOZKURT HASAN,BOZKURT HASAN,30
1327,AU=BUKER HASAN,BUKER HASAN,5
1328,AU=BUYUKASLAN HASAN,BUYUKASLAN HASAN,14
1329,AU=BILINC HASAN,BILINC HASAN,13
1330,AU=EKER HASAN,EKER HASAN,31
1331,AU=ELLEK HASAN,ELLEK HASAN,0
1332,AU=ERDOGAN HASAN,ERDOGAN HASAN,50
1333,AU=ERDOGAN HASAN,ERDOGAN HASAN,50
1334,AU=ERTAS HASAN,ERTAS HASAN,25
1335,AU=ERCELIK HASAN,ERCELIK HASAN,0
1336,AU=EROL HASAN,EROL HASAN,2
1337,AU=GOK HASAN,GOK HASAN,35
1338,AU=GUNGOR HASAN,GUNGOR HASAN,59
1339,AU=ULUTIN HASAN,ULUTIN HASAN,0
1340,AU=DULGER HASAN,DULGER HASAN,1
1341,AU=HERKEN HASAN,HERKEN HASAN,65
1342,AU=KART HASAN,KART HASAN,3
1343,AU=KOSGER HASAN,KOSGER HASAN,0
1344,AU=SATILMIS HASAN,SATILMIS HASAN,6
1345,AU=YURTCU HASAN,YURTCU HASAN,1
1346,AU=CALI HASAN,CALI HASAN,0
1347,AU=CEVIK HASAN,CEVIK HASAN,3
1348,AU=OZDEMIR HASAN,OZDEMIR HASAN,82
1349,AU=YUCE HASAN,YUCE HASAN,23
1350,AU=KAFALI HASAN,KAFALI HASAN,52
1351,AU=KALA HASAN,KALA HASAN,0
1352,AU=KAMAK HASAN,KAMAK HASAN,11
1353,AU=KAPLAN HASAN,KAPLAN HASAN,26
1354,AU=KARACAN HASAN,KARACAN HASAN,0
1355,AU=KARAKURT HASAN,KARAKURT HASAN,3
1356,AU=KAYA HASAN,KAYA HASAN,155
1357,AU=KURT HASAN,KURT HASAN,15
1358,AU=METINEREN HASAN,METINEREN HASAN,11
1359,AU=MUTLU HASAN,MUTLU HASAN,83
1360,AU=OZER HASAN,OZER HASAN,59
1361,AU=SARAL HASAN,SARAL HASAN,7
1362,AU=GERGERLIOGLU HASAN,GERGERLIOGLU HASAN,15
1363,AU=TAK HASAN,TAK HASAN,1
1364,AU=ATMACA HASAN,ATMACA HASAN,26
1365,AU=TURKMEN HASAN,TURKMEN HASAN,14
1366,AU=UCMAK HASAN,UCMAK HASAN,18
1367,AU=YILDI HASAN,YILDI HASAN,0
1368,AU=YILDIZHAN HASAN,YILDIZHAN HASAN,6
1369,AU=YUMAK HASAN,YUMAK HASAN,8
1370,AU=CANKAYA HASAN,CANKAYA HASAN,0
1371,AU=CEVIKOGLU HASAN,CEVIKOGLU HASAN,0
1372,AU=CECE HASAN,CECE HASAN,47
1373,AU=CINAR HASAN,CINAR HASAN,1
1374,AU=OZTURK HASAN,OZTURK HASAN,74
1375,AU=ULKER HASAN,ULKER HASAN,5
1376,AU=IBICIOGLU HASAN,IBICIOGLU HASAN,0
1377,AU=MUTAF HASAN,MUTAF HASAN,1
1378,AU=ASLAN HASBI,ASLAN HASBI,0
1379,AU=KARA HATIBE,KARA HATIBE,4
1380,AU=CANSUNAR HATICE,CANSUNAR HATICE,3
1381,AU=BALABAN HATICE,BALABAN HATICE,20
1382,AU=CAN HATICE,CAN HATICE,37
1383,AU=AKIN HATICE,AKIN HATICE,0
1384,AU=SENOGUZ HATICE,SENOGUZ HATICE,1
1385,AU=SEZAN HATICE,SEZAN HATICE,0
1386,AU=TEBER HATICE,TEBER HATICE,0
1387,AU=TOY HATICE,TOY HATICE,68
1388,AU=YESILDAL HATICE,YESILDAL HATICE,0
1389,AU=YUKSEL HATICE,YUKSEL HATICE,50
1390,AU=AKBAS HATICE,AKBAS HATICE,5
1391,AU=INAN HATICE,INAN HATICE,16
1392,AU=OZBILGE HATICE,OZBILGE HATICE,17
1393,AU=AYDIN HATIP,AYDIN HATIP,20
1394,AU=YILMAZ HAUDAI,YILMAZ HAUDAI,0
1395,AU=YILMAZ HAVA,YILMAZ HAVA,28
1396,AU=SAHIN HAVANUR,SAHIN HAVANUR,0
1397,AU=EVRENGUL HAVVA,EVRENGUL HAVVA,22
1398,AU=KOCA HAVVA,KOCA HAVVA,0
1399,AU=YAMAN HAVVA,YAMAN HAVVA,6
1400,AU=DEMIRASLAN HAYATI,DEMIRASLAN HAYATI,30
1401,AU=GUNES HAYATI,GUNES HAYATI,15
1402,AU=KANDIS HAYATI,KANDIS HAYATI,50
1403,AU=SINIR HAYATI,SINIR HAYATI,3
1404,AU=SEKER HAYATI,SEKER HAYATI,6
1405,AU=UCAK HAYDAR,UCAK HAYDAR,29
1406,AU=EROGLU HAYRETTIN,EROGLU HAYRETTIN,13
1407,AU=TUNCEL HAYRETTIN,TUNCEL HAYRETTIN,0
1408,AU=CETIN HAYRULLAH,CETIN HAYRULLAH,1
1409,AU=UN HAYRI,UN HAYRI,1
1410,AU=KARABULUT HAYRIYE,KARABULUT HAYRIYE,40
1411,AU=YILMAZ HAYRIYE,YILMAZ HAYRIYE,9
1412,AU=YILMAZ HASIM,YILMAZ HASIM,20
1413,AU=DAVAS HEDIYE,DAVAS HEDIYE,0
1414,AU=ULVI HIZIR,ULVI HIZIR,21
1415,AU=COKADAR HULUSI,COKADAR HULUSI,9
1416,AU=HATIPOGLU HURISEL,HATIPOGLU HURISEL,0
1417,AU=CAN HUDAYI,CAN HUDAYI,0
1418,AU=KIZILTUNC HUKMI,KIZILTUNC HUKMI,19
1419,AU=AKSOY HULYA,AKSOY HULYA,36
1420,AU=ELIBUYUK HULYA,ELIBUYUK HULYA,0
1421,AU=GOKNAR HULYA,GOKNAR HULYA,0
1422,AU=OGELMAN HULYA,OGELMAN HULYA,14
1423,AU=OZDINC HULYA,OZDINC HULYA,1
1424,AU=KOYUNCU HULYA,KOYUNCU HULYA,3
1425,AU=BURUCU HUMEYRA,BURUCU HUMEYRA,0
1426,AU=CAN HUMEYRA,CAN HUMEYRA,1
1427,AU=BICICI HUR,BICICI HUR,0
